Name,Link,ID
ACMH Hospital,http://www.hospitalsafetyscore.org/h/acmh-hospital,1
AHMC Anaheim Regional Medical Center,http://www.hospitalsafetyscore.org/h/ahmc-anaheim-regional-medical-center,2
AHMC Seton Medical Center,http://www.hospitalsafetyscore.org/h/ahmc-seton-medical-center,3
AHN Grove City,http://www.hospitalsafetyscore.org/h/ahn-grove-city,4
"AHS Southcrest Hospital, LLC dba Hillcrest Hospital South",http://www.hospitalsafetyscore.org/h/ahs-southcrest-hospital-llc-dba-hillcrest-hospital-south,5
Abbeville General Hospital,http://www.hospitalsafetyscore.org/h/abbeville-general-hospital,6
Abbott Northwestern Hospital,http://www.hospitalsafetyscore.org/h/abbott-northwestern-hospital,7
Abrazo Arrowhead Campus,http://www.hospitalsafetyscore.org/h/abrazo-arrowhead-campus,8
Abrazo Central Campus,http://www.hospitalsafetyscore.org/h/abrazo-central-campus,9
Abrazo Scottsdale Campus,http://www.hospitalsafetyscore.org/h/abrazo-scottsdale-campus,10
Abrazo West Campus,http://www.hospitalsafetyscore.org/h/abrazo-west-campus,11
Acadian Medical Center,http://www.hospitalsafetyscore.org/h/acadian-medical-center,12
Addison Gilbert Hospital,http://www.hospitalsafetyscore.org/h/addison-gilbert-hospital,13
Adena Regional Medical Center,http://www.hospitalsafetyscore.org/h/adena-regional-medical-center,14
Adirondack Medical Center - Saranac Lake,http://www.hospitalsafetyscore.org/h/adirondack-medical-center-saranac-lake,15
AdventHealth Altamonte Springs,http://www.hospitalsafetyscore.org/h/adventhealth-altamonte-springs,16
AdventHealth Apopka,http://www.hospitalsafetyscore.org/h/adventhealth-apopka,17
AdventHealth Avista,http://www.hospitalsafetyscore.org/h/adventhealth-avista,18
AdventHealth Carrollwood,http://www.hospitalsafetyscore.org/h/adventhealth-carrollwood,19
AdventHealth Castle Rock,http://www.hospitalsafetyscore.org/h/adventhealth-castle-rock,20
AdventHealth Celebration,http://www.hospitalsafetyscore.org/h/adventhealth-celebration,21
AdventHealth Central Texas,http://www.hospitalsafetyscore.org/h/adventhealth-central-texas,22
AdventHealth Dade City,http://www.hospitalsafetyscore.org/h/adventhealth-dade-city,23
AdventHealth Daytona Beach,http://www.hospitalsafetyscore.org/h/adventhealth-daytona-beach,24
AdventHealth DeLand,http://www.hospitalsafetyscore.org/h/adventhealth-deland,25
AdventHealth East Orlando,http://www.hospitalsafetyscore.org/h/adventhealth-east-orlando,26
AdventHealth Fish Memorial,http://www.hospitalsafetyscore.org/h/adventhealth-fish-memorial,27
AdventHealth Gordon,http://www.hospitalsafetyscore.org/h/adventhealth-gordon,28
AdventHealth Hendersonville,http://www.hospitalsafetyscore.org/h/adventhealth-hendersonville,29
AdventHealth Kissimmee,http://www.hospitalsafetyscore.org/h/adventhealth-kissimmee,30
AdventHealth Lake Placid,http://www.hospitalsafetyscore.org/h/adventhealth-lake-placid,31
AdventHealth Lake Wales,http://www.hospitalsafetyscore.org/h/adventhealth-lake-wales,32
AdventHealth Littleton,http://www.hospitalsafetyscore.org/h/adventhealth-littleton,33
AdventHealth Manchester,http://www.hospitalsafetyscore.org/h/adventhealth-manchester,34
AdventHealth New Smyrna Beach,http://www.hospitalsafetyscore.org/h/adventhealth-new-smyrna-beach,35
AdventHealth North Pinellas,http://www.hospitalsafetyscore.org/h/adventhealth-north-pinellas,36
AdventHealth Ocala,http://www.hospitalsafetyscore.org/h/adventhealth-ocala,37
AdventHealth Orlando,http://www.hospitalsafetyscore.org/h/adventhealth-orlando,38
AdventHealth Ottawa,http://www.hospitalsafetyscore.org/h/adventhealth-ottawa,39
AdventHealth Palm Coast,http://www.hospitalsafetyscore.org/h/adventhealth-palm-coast,40
AdventHealth Parker,http://www.hospitalsafetyscore.org/h/adventhealth-parker,41
AdventHealth Porter Hospital,http://www.hospitalsafetyscore.org/h/adventhealth-porter-hospital,42
AdventHealth Redmond,http://www.hospitalsafetyscore.org/h/adventhealth-redmond,43
AdventHealth Sebring,http://www.hospitalsafetyscore.org/h/adventhealth-sebring,44
AdventHealth Shawnee Mission,http://www.hospitalsafetyscore.org/h/adventhealth-shawnee-mission,45
AdventHealth Tampa,http://www.hospitalsafetyscore.org/h/adventhealth-tampa,46
AdventHealth Waterman,http://www.hospitalsafetyscore.org/h/adventhealth-waterman,47
AdventHealth Wesley Chapel,http://www.hospitalsafetyscore.org/h/adventhealth-wesley-chapel,48
AdventHealth Winter Park,http://www.hospitalsafetyscore.org/h/adventhealth-winter-park,49
AdventHealth Zephyrhills,http://www.hospitalsafetyscore.org/h/adventhealth-zephyrhills,50
Adventhealth Heart of Florida,http://www.hospitalsafetyscore.org/h/adventhealth-heart-of-florida,51
Adventist Health - Bakersfield,http://www.hospitalsafetyscore.org/h/adventist-health-bakersfield,52
Adventist Health - Delano,http://www.hospitalsafetyscore.org/h/adventist-health-delano,53
Adventist Health Castle,http://www.hospitalsafetyscore.org/h/adventist-health-castle,54
Adventist Health Glendale,http://www.hospitalsafetyscore.org/h/adventist-health-glendale,55
Adventist Health Hanford,http://www.hospitalsafetyscore.org/h/adventist-health-hanford,56
Adventist Health Lodi Memorial,http://www.hospitalsafetyscore.org/h/adventist-health-lodi-memorial,57
Adventist Health Portland,http://www.hospitalsafetyscore.org/h/adventist-health-portland,58
Adventist Health Selma,http://www.hospitalsafetyscore.org/h/adventist-health-selma,59
Adventist Health Simi Valley,http://www.hospitalsafetyscore.org/h/adventist-health-simi-valley,60
Adventist Health Sonora,http://www.hospitalsafetyscore.org/h/adventist-health-sonora,61
Adventist Health St. Helena,http://www.hospitalsafetyscore.org/h/adventist-health-st-helena,62
Adventist Health Ukiah Valley,http://www.hospitalsafetyscore.org/h/adventist-health-ukiah-valley,63
Adventist Health White Memorial,http://www.hospitalsafetyscore.org/h/adventist-health-white-memorial,64
Adventist Health and Rideout,http://www.hospitalsafetyscore.org/h/adventist-health-and-rideout,65
Adventist HealthCare Fort Washington Medical Center,http://www.hospitalsafetyscore.org/h/adventist-healthcare-fort-washington-medical-center,66
Adventist HealthCare Shady Grove Medical Center,http://www.hospitalsafetyscore.org/h/adventist-healthcare-shady-grove-medical-center,67
Adventist HealthCare White Oak Medical Center,http://www.hospitalsafetyscore.org/h/adventist-healthcare-white-oak-medical-center,68
Advocate Christ Medical Center,http://www.hospitalsafetyscore.org/h/advocate-christ-medical-center,69
Advocate Condell Medical Center,http://www.hospitalsafetyscore.org/h/advocate-condell-medical-center,70
Advocate Good Samaritan Hospital,http://www.hospitalsafetyscore.org/h/advocate-good-samaritan-hospital,71
Advocate Good Shepherd Hospital,http://www.hospitalsafetyscore.org/h/advocate-good-shepherd-hospital,72
Advocate Illinois Masonic Medical Center,http://www.hospitalsafetyscore.org/h/advocate-illinois-masonic-medical-center,73
Advocate Lutheran General Hospital,http://www.hospitalsafetyscore.org/h/advocate-lutheran-general-hospital,74
Advocate Sherman Hospital,http://www.hospitalsafetyscore.org/h/advocate-sherman-hospital,75
Advocate South Suburban Hospital,http://www.hospitalsafetyscore.org/h/advocate-south-suburban-hospital,76
Advocate Trinity Hospital,http://www.hospitalsafetyscore.org/h/advocate-trinity-hospital,77
Aiken Regional Medical Centers,http://www.hospitalsafetyscore.org/h/aiken-regional-medical-centers,78
Alamance Regional Medical Center,http://www.hospitalsafetyscore.org/h/alamance-regional-medical-center,79
Alameda Hospital,http://www.hospitalsafetyscore.org/h/alameda-hospital,80
Alaska Regional Hospital,http://www.hospitalsafetyscore.org/h/alaska-regional-hospital,81
Albany Medical Center,http://www.hospitalsafetyscore.org/h/albany-medical-center,82
Alhambra Hospital Medical Center,http://www.hospitalsafetyscore.org/h/alhambra-hospital-medical-center,83
Alice Hyde Medical Center,http://www.hospitalsafetyscore.org/h/alice-hyde-medical-center,84
Allegheny General Hospital,http://www.hospitalsafetyscore.org/h/allegheny-general-hospital,85
Allegheny Valley Hospital,http://www.hospitalsafetyscore.org/h/allegheny-valley-hospital,86
